t_s,calib_sys,calib_gyro,calib_accel,calib_mag,heading,roll,pitch,ax,ay,az
21.319,0,0,0,0,358.38,-1.19,0.0,-0.17,-0.32,-0.25
21.433,0,0,0,0,358.38,-1.25,-1.25,-0.12,-0.5,-0.25
21.547,0,0,0,0,358.38,-1.25,-0.81,-0.11,-0.43,-0.26
21.663,0,0,0,0,358.25,-1.31,-1.0,-0.08,-0.46,-0.25
21.777,0,0,0,0,358.12,-1.25,0.25,-0.13,-0.26,-0.25
21.891,0,0,0,0,358.06,-1.38,0.06,-0.09,-0.28,-0.25
22.007,0,0,0,0,358.12,-2.0,-0.56,0.01,-0.4,-0.25
22.122,0,0,0,0,358.06,-1.88,-0.62,-0.02,-0.38,-0.26
22.235,0,0,0,0,358.0,-1.75,-0.94,-0.05,-0.44,-0.24
22.349,0,0,0,0,357.88,-1.69,0.69,-0.02,-0.18,-0.27
22.465,0,0,0,0,357.94,-1.38,1.62,-0.08,0.0,-0.25
22.580,0,0,0,0,357.56,-1.5,1.88,-0.11,0.02,-0.23
22.695,0,0,0,0,357.62,-1.56,1.75,-0.08,-0.02,-0.25
22.811,0,0,0,0,357.75,-1.5,1.12,-0.05,-0.09,-0.28
22.925,0,0,0,0,357.75,-1.44,1.75,-0.05,0.01,-0.24
23.039,0,0,0,0,357.69,-1.31,0.94,-0.08,-0.15,-0.25
23.153,0,0,0,0,357.44,-1.38,2.38,-0.08,0.1,-0.24
23.269,0,0,0,0,357.25,-1.25,2.0,-0.09,0.05,-0.23
23.383,0,0,0,0,357.38,-1.31,3.44,-0.07,0.27,-0.23
23.498,0,0,0,0,357.56,-1.38,4.81,-0.08,0.51,-0.24
23.614,0,0,0,0,357.56,-1.38,4.31,-0.06,0.44,-0.23
23.729,0,0,0,0,357.31,-1.31,5.12,-0.05,0.57,-0.21
23.843,0,0,0,0,357.25,-1.19,4.88,-0.1,0.54,-0.24
23.958,0,0,0,0,357.38,-1.19,4.94,-0.1,0.54,-0.21
24.073,0,0,0,0,357.25,-1.0,4.06,-0.15,0.37,-0.24
24.187,0,0,0,0,357.31,-1.19,4.62,-0.11,0.47,-0.22
24.302,0,0,0,0,357.25,-1.62,5.81,-0.02,0.69,-0.2
24.418,0,0,0,0,357.06,-1.44,6.0,-0.06,0.75,-0.21
24.533,0,0,0,0,357.06,-1.5,4.94,-0.05,0.55,-0.21
24.647,0,0,0,0,357.12,-1.19,3.0,-0.1,0.24,-0.24
24.762,0,0,0,0,357.25,-1.19,1.56,-0.12,-0.01,-0.27
24.876,0,0,0,0,357.25,-0.88,1.56,-0.09,0.01,-0.25
24.991,0,0,0,0,357.06,-0.69,1.62,-0.15,-0.01,-0.25
25.105,0,0,0,0,357.19,-0.75,1.31,-0.18,-0.06,-0.25
25.221,0,0,0,0,357.19,-0.69,1.94,-0.18,0.03,-0.25
25.335,0,0,0,0,357.06,-0.56,2.38,-0.18,0.11,-0.25
25.450,0,0,0,0,357.12,-0.5,2.88,-0.2,0.17,-0.24
25.565,0,0,0,0,357.19,-0.5,3.44,-0.21,0.27,-0.26
25.680,0,0,0,0,357.19,-0.69,3.19,-0.13,0.2,-0.23
25.794,0,0,0,0,357.19,-0.75,3.69,-0.15,0.31,-0.25
